feature,importance
EDA_tonic_mean,0.08806085429895191
EDA_phasic_mean,0.08594743944594344
0_mean,0.08171725671650998
Resp_mean,0.08084180382166567
ACC_y_mean,0.07998427886977892
TEMP_mean,0.07547546436301704
BVP_mean,0.07499983711583502
ACC_x_mean,0.07305959180362939
net_acc_mean,0.07091983651190169
EDA_smna_mean,0.07026914025790387
ACC_z_mean,0.07011559242984294
EDA_smna_std,0.025269829080795597
EDA_tonic_std,0.020164451538529648
EDA_phasic_std,0.01912440159966384
net_acc_std,0.011343393607330287
Resp_std,0.008685194159871106
ACC_y_std,0.004544942190172992
BVP_std,0.00442762907264742
0_std,0.003924092401956391
TEMP_slope,0.0035892322554053483
ACC_y_max,0.0022914629796682603
Resp_max,0.002217593989058141
net_acc_max,0.0022023096318601666
ACC_x_std,0.0021723077927522697
BVP_peak_freq,0.002170889329032006
EDA_tonic_max,0.002163217650367405
BVP_max,0.002147306584026402
0_max,0.0021110046809309554
ACC_z_std,0.002092048733661004
ACC_z_max,0.0020468083627338826
EDA_phasic_max,0.0020101429472815986
TEMP_max,0.001952714808594227
ACC_x_max,0.001940157225020691
EDA_smna_max,0.0017585180897366488
EDA_smna_min,0.001486259749354045
TEMP_std,0.0014848832980076246
BVP_min,0.0014614675027517356
net_acc_min,0.0013974083907281245
0_min,0.0013950394521733331
TEMP_min,0.0013889968551104514
Resp_min,0.0013462473466435345
ACC_z_min,0.0013414044460277588
ACC_y_min,0.0013405770362555519
EDA_phasic_min,0.0013025334933973356
ACC_x_min,0.001271574612106459
EDA_tonic_min,0.0011389691976803138
weight,0.0008256302873085536
height,0.0006902729746740696
age,0.000387991011704977
